Altersgruppe, Meldedatum, value, difference, trend
>=80, 2020-07-30, 2.3, 0.624, 0.0096
>=80, 2020-07-31, 2.3, 0.6746, 0.0104
>=80, 2020-08-01, 2.7, 0.5565, 0.0086
>=80, 2020-08-02, 2.7, 0.8263, 0.0127
>=80, 2020-08-03, 2.9, 1.0287, 0.0159
>=80, 2020-08-04, 2.9, 0.8432, 0.013
>=80, 2020-08-05, 2.8, 0.5734, 0.0088
>=80, 2020-08-06, 2.7, 0.6071, 0.0094
>=80, 2020-08-07, 2.8, 0.5059, 0.0078
>=80, 2020-08-08, 2.4, 0.0506, 0.0008
>=80, 2020-08-09, 2.4, -0.1518, -0.002
>=80, 2020-08-10, 2.3, -0.3036, -0.0041
>=80, 2020-08-11, 2.4, -0.5902, -0.0079
>=80, 2020-08-12, 2.3, -0.4047, -0.0054
>=80, 2020-08-13, 2.6, -0.3373, -0.0045
>=80, 2020-08-14, 2.4, -0.4722, -0.0064
>=80, 2020-08-15, 2.6, -0.0169, -0.0002
>=80, 2020-08-16, 2.7, 0.0169, 0.0003
>=80, 2020-08-17, 2.7, 0.2361, 0.0036
>=80, 2020-08-18, 2.5, 0.3879, 0.006
>=80, 2020-08-19, 2.4, 0.2024, 0.0031
>=80, 2020-08-20, 2.1, -0.2024, -0.0027
>=80, 2020-08-21, 2.1, -0.2698, -0.0036
>=80, 2020-08-22, 2, -0.3204, -0.0043
>=80, 2020-08-23, 1.9, -0.5228, -0.007
>=80, 2020-08-24, 1.8, -0.7589, -0.0102
>=80, 2020-08-25, 1.8, -0.7251, -0.0098
>=80, 2020-08-26, 1.9, -0.5734, -0.0077
>=80, 2020-08-27, 1.9, -0.2698, -0.0036
>=80, 2020-08-28, 1.8, -0.2024, -0.0027
>=80, 2020-08-29, 1.9, -0.253, -0.0034
>=80, 2020-08-30, 1.8, -0.1518, -0.002
>=80, 2020-08-31, 1.9, -0.0169, -0.0002
>=80, 2020-09-01, 1.8, 0.1012, 0.0016
>=80, 2020-09-02, 1.7, -0.1518, -0.002
>=80, 2020-09-03, 1.7, -0.2024, -0.0027
>=80, 2020-09-04, 1.8, -0.118, -0.0016
>=80, 2020-09-05, 1.6, -0.2361, -0.0032
>=80, 2020-09-06, 1.8, -0.0506, -0.0007
>=80, 2020-09-07, 1.8, -0.0675, -0.0009
>=80, 2020-09-08, 2.1, 0.1518, 0.0023
>=80, 2020-09-09, 2.6, 0.4722, 0.0073
>=80, 2020-09-10, 3, 0.9444, 0.0146
>=80, 2020-09-11, 3.2, 1.113, 0.0172
>=80, 2020-09-12, 3.8, 1.855, 0.0286
>=80, 2020-09-13, 4.1, 1.855, 0.0286
>=80, 2020-09-14, 4.4, 2.1754, 0.0335
>=80, 2020-09-15, 4.4, 2.1417, 0.033
>=80, 2020-09-16, 4.9, 2.0068, 0.0309
>=80, 2020-09-17, 5.3, 1.8888, 0.0291
>=80, 2020-09-18, 6.1, 2.5127, 0.0387
>=80, 2020-09-19, 6.3, 2.2935, 0.0353
>=80, 2020-09-20, 6.4, 1.8213, 0.0281
>=80, 2020-09-21, 6.3, 1.484, 0.0229
>=80, 2020-09-22, 6.6, 1.9225, 0.0296
>=80, 2020-09-23, 6.5, 1.5852, 0.0244
>=80, 2020-09-24, 6.6, 1.3997, 0.0216
>=80, 2020-09-25, 6.5, 0.253, 0.0039
>=80, 2020-09-26, 6.3, -0.0169, -0.0002
>=80, 2020-09-27, 7, 0.2192, 0.0034
>=80, 2020-09-28, 7.2, 0.6914, 0.0107
>=80, 2020-09-29, 7.6, 0.8263, 0.0127
>=80, 2020-09-30, 7.8, 1.2142, 0.0187
>=80, 2020-10-01, 8, 1.1973, 0.0185
>=80, 2020-10-02, 8.2, 1.6021, 0.0247
>=80, 2020-10-03, 10.2, 2.0237, 0.0312
>=80, 2020-10-04, 10, 2.5633, 0.0395
>=80, 2020-10-05, 10.1, 2.6139, 0.0403
>=80, 2020-10-06, 10.7, 2.1923, 0.0338
>=80, 2020-10-07, 11.3, 2.7657, 0.0426
>=80, 2020-10-08, 12.5, 3.6089, 0.0556
>=80, 2020-10-09, 13.9, 4.7388, 0.073
>=80, 2020-10-10, 14.3, 4.6713, 0.072
>=80, 2020-10-11, 15.5, 5.0255, 0.0774
>=80, 2020-10-12, 16.2, 5.4133, 0.0834
>=80, 2020-10-13, 18.1, 6.1385, 0.0946
>=80, 2020-10-14, 19.3, 7.2346, 0.1115
>=80, 2020-10-15, 22, 7.808, 0.1203
>=80, 2020-10-16, 24.6, 8.5163, 0.1312
>=80, 2020-10-17, 28, 10.5737, 0.1629
>=80, 2020-10-18, 29.9, 11.4506, 0.1765
>=80, 2020-10-19, 31.5, 12.3107, 0.1897
>=80, 2020-10-20, 32.8, 13.3225, 0.2053
>=80, 2020-10-21, 38.2, 14.3175, 0.2206
>=80, 2020-10-22, 42.9, 17.1, 0.2635
>=80, 2020-10-23, 50.5, 20.2367, 0.3119
>=80, 2020-10-24, 56.1, 24.1154, 0.3716
>=80, 2020-10-25, 60.9, 28.0447, 0.4322
>=80, 2020-10-26, 65.4, 31.2489, 0.4815
>=80, 2020-10-27, 73, 34.2675, 0.5281
>=80, 2020-10-28, 79.2, 36.5948, 0.5639
>=80, 2020-10-29, 86.4, 37.185, 0.573
>=80, 2020-10-30, 90.9, 36.3418, 0.56
>=80, 2020-10-31, 95.4, 33.8122, 0.521
>=80, 2020-11-01, 100, 32.1258, 0.4951
>=80, 2020-11-02, 102.6, 31.2658, 0.4818
>=80, 2020-11-03, 106.3, 29.3433, 0.4522
>=80, 2020-11-04, 110, 25.5152, 0.3932
>=80, 2020-11-05, 115, 23.1542, 0.3568
>=80, 2020-11-06, 119.5, 23.8625, 0.3677
>=80, 2020-11-07, 122.4, 24.4865, 0.3773
>=80, 2020-11-08, 124.7, 23.0024, 0.3545
>=80, 2020-11-09, 125.4, 22.5134, 0.3469
>=80, 2020-11-10, 125.8, 18.5503, 0.2859
>=80, 2020-11-11, 128.9, 20.0512, 0.309
>=80, 2020-11-12, 133.2, 19.8151, 0.3054
>=80, 2020-11-13, 137.4, 20.2873, 0.3126
>=80, 2020-11-14, 143.6, 21.8725, 0.3371
>=80, 2020-11-15, 149.5, 24.9755, 0.3849
>=80, 2020-11-16, 150.7, 26.4933, 0.4083
>=80, 2020-11-17, 155.5, 31.6368, 0.4875
>=80, 2020-11-18, 162.2, 29.5456, 0.4553
>=80, 2020-11-19, 167, 32.6486, 0.5031
>=80, 2020-11-20, 175.7, 34.1158, 0.5257
>=80, 2020-11-21, 180.8, 34.7903, 0.5361
>=80, 2020-11-22, 179, 26.6956, 0.4114
>=80, 2020-11-23, 182.1, 28.1459, 0.4337
>=80, 2020-11-24, 185, 23.8288, 0.3672
>=80, 2020-11-25, 185.1, 21.7039, 0.3345
>=80, 2020-11-26, 187.5, 18.3311, 0.2825
>=80, 2020-11-27, 194.3, 15.4305, 0.2378
>=80, 2020-11-28, 202.2, 15.4474, 0.238
>=80, 2020-11-29, 206.7, 23.1205, 0.3563
>=80, 2020-11-30, 208.9, 23.3228, 0.3594
>=80, 2020-12-01, 210.5, 25.1947, 0.3883
>=80, 2020-12-02, 215.9, 31.0971, 0.4792
>=80, 2020-12-03, 220.3, 31.8223, 0.4904
>=80, 2020-12-04, 228.3, 28.9891, 0.4467
>=80, 2020-12-05, 233.3, 27.3027, 0.4207
>=80, 2020-12-06, 236.1, 33.1545, 0.5109
>=80, 2020-12-07, 240, 33.2726, 0.5127
>=80, 2020-12-08, 247.5, 36.696, 0.5655
>=80, 2020-12-09, 257.2, 37.9776, 0.5852
>=80, 2020-12-10, 267.8, 38.4329, 0.5923
>=80, 2020-12-11, 273.9, 43.7114, 0.6736
>=80, 2020-12-12, 284.8, 49.5969, 0.7643
>=80, 2020-12-13, 302.6, 55.5161, 0.8555
>=80, 2020-12-14, 310, 63.2398, 0.9745
>=80, 2020-12-15, 318.2, 56.2244, 0.8664
>=80, 2020-12-16, 325.9, 63.4085, 0.9771
>=80, 2020-12-17, 336.1, 63.0712, 0.9719
>=80, 2020-12-18, 348.2, 64.1336, 0.9883
>=80, 2020-12-19, 352.6, 64.4877, 0.9938
>=80, 2020-12-20, 353.9, 47.1516, 0.7266
>=80, 2020-12-21, 356.8, 43.256, 0.6666
>=80, 2020-12-22, 362.3, 47.843, 0.7373
>=80, 2020-12-23, 374.1, 37.7921, 0.5824
>=80, 2020-12-24, 387.4, 42.6321, 0.657
>=80, 2020-12-25, 364, 24.2672, 0.374
>=80, 2020-12-26, 333.5, -14.1489, -0.1903
>=80, 2020-12-27, 316.3, -25.0936, -0.3376
>=80, 2020-12-28, 311.4, -38.4161, -0.5168
>=80, 2020-12-29, 303.3, -54.4537, -0.7325
>=80, 2020-12-30, 303.3, -70.1709, -0.944
>=80, 2020-12-31, 304, -74.3363, -1
>=80, 2021-01-01, 305.1, -55.3981, -0.7452
>=80, 2021-01-02, 299.6, -27.1341, -0.365
>=80, 2021-01-03, 298.2, -18.0444, -0.2427
>=80, 2021-01-04, 294, -17.8589, -0.2402
>=80, 2021-01-05, 287.1, -13.8959, -0.1869
>=80, 2021-01-06, 279.9, -20.2705, -0.2727
>=80, 2021-01-07, 264.3, -41.1649, -0.5538
>=80, 2021-01-08, 278.6, -24.8912, -0.3348
>=80, 2021-01-09, 314.4, 7.5719, 0.1167
>=80, 2021-01-10, 324.3, 21.2317, 0.3272
>=80, 2021-01-11, 322.7, 30.7261, 0.4735
>=80, 2021-01-12, 322.7, 40.1362, 0.6185
>=80, 2021-01-13, 318.2, 45.9543, 0.7082
>=80, 2021-01-14, 317.3, 64.8925, 1
>=80, 2021-01-15, 311.9, 35.3468, 0.5447
>=80, 2021-01-16, 299.3, -8.0272, -0.108
>=80, 2021-01-17, 293.8, -24.7226, -0.3326
>=80, 2021-01-18, 291.2, -33.6604, -0.4528
>=80, 2021-01-19, 284.4, -33.8459, -0.4553
>=80, 2021-01-20, 277.2, -34.0483, -0.458
>=80, 2021-01-21, 265.4, -44.251, -0.5953
>=80, 2021-01-22, 254.2, -49.8498, -0.6706
>=80, 2021-01-23, 242.6, -47.3202, -0.6366
>=80, 2021-01-24, 237.5, -44.875, -0.6037
>=80, 2021-01-25, 231.3, -44.5377, -0.5991
>=80, 2021-01-26, 224.1, -55.1788, -0.7423
>=80, 2021-01-27, 213.1, -57.5398, -0.774
>=80, 2021-01-28, 205.1, -56.0389, -0.7539
>=80, 2021-01-29, 191.9, -56.2581, -0.7568
>=80, 2021-01-30, 185.8, -56.8315, -0.7645
>=80, 2021-01-31, 177.6, -59.1587, -0.7958
>=80, 2021-02-01, 175.2, -57.9108, -0.779
>=80, 2021-02-02, 171.2, -50.0353, -0.6731
>=80, 2021-02-03, 161, -49.0235, -0.6595
>=80, 2021-02-04, 149.5, -51.317, -0.6903
>=80, 2021-02-05, 144.7, -44.3691, -0.5969
>=80, 2021-02-06, 136.2, -43.0874, -0.5796
>=80, 2021-02-07, 132.5, -41.4685, -0.5578
>=80, 2021-02-08, 129.1, -41.2998, -0.5556
>=80, 2021-02-09, 124.5, -46.0554, -0.6196
>=80, 2021-02-10, 117.2, -38.1463, -0.5132
>=80, 2021-02-11, 109.8, -36.7465, -0.4943
>=80, 2021-02-12, 100.7, -40.2542, -0.5415
>=80, 2021-02-13, 94.3, -41.4685, -0.5578
>=80, 2021-02-14, 88.3, -42.4297, -0.5708
>=80, 2021-02-15, 88.4, -41.0637, -0.5524
>=80, 2021-02-16, 87.5, -35.7853, -0.4814
>=80, 2021-02-17, 85.9, -31.856, -0.4285
>=80, 2021-02-18, 83.7, -25.8018, -0.3471
>=80, 2021-02-19, 80.4, -19.8995, -0.2677
>=80, 2021-02-20, 78, -14.503, -0.1951
>=80, 2021-02-21, 78, -9.5113, -0.1279
>=80, 2021-02-22, 76.2, -11.4169, -0.1536
